design,channel,a1,a2,a3,azimuth_psi_deg,ellipticity_chi_deg
Tetra-4,1,0.5773502691896258,0.5773502691896258,0.5773502691896258,22.5,17.63219484137733
Tetra-4,2,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,-22.5,-17.63219484137733
Tetra-4,3,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,67.5,-17.63219484137733
Tetra-4,4,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,-67.5,17.63219484137733
Octa-6,1,1.0,0.0,0.0,0.0,0.0
Octa-6,2,-1.0,0.0,0.0,90.0,0.0
Octa-6,3,0.0,1.0,0.0,45.0,0.0
Octa-6,4,0.0,-1.0,0.0,-45.0,0.0
Octa-6,5,0.0,0.0,1.0,0.0,45.0
Octa-6,6,0.0,0.0,-1.0,0.0,-45.0
Proposed-6,1,-0.81571441,-0.5220333,0.24918113,-73.69097449580644,7.214530489663878
Proposed-6,2,0.06262398,0.15828331,0.98540582,34.207012734887655,40.09965018367623
Proposed-6,3,0.55801114,0.57312615,-0.60012497,22.88278940467564,-18.439424243602915
Proposed-6,4,-0.12094172,-0.60542375,-0.78666078,-50.64845824956762,-25.9372710345075
Proposed-6,5,0.73361965,-0.64213493,0.22240715,-20.59777751391211,6.425227974364908
Proposed-6,6,-0.52176286,0.84765388,-0.0961583,60.806930379000654,-2.7589953741692193
Cube-8,1,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,-67.5,-17.63219484137733
Cube-8,2,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,-67.5,17.63219484137733
Cube-8,3,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,67.5,-17.63219484137733
Cube-8,4,-0.5773502691896258,0.5773502691896258,0.5773502691896258,67.5,17.63219484137733
Cube-8,5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,-22.5,-17.63219484137733
Cube-8,6,0.5773502691896258,-0.5773502691896258,0.5773502691896258,-22.5,17.63219484137733
Cube-8,7,0.5773502691896258,0.5773502691896258,-0.5773502691896258,22.5,-17.63219484137733
Cube-8,8,0.5773502691896258,0.5773502691896258,0.5773502691896258,22.5,17.63219484137733
