design,dropouts,photons_total,sigma_read_e,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
Tetra-4,0,60000,3.0,0.017002003776994172,0.014959639951965802,0.027792690900656284,0.007503451345556467,1.1452753411359953,1.0,0.0031,30000
Octa-6,0,60000,3.0,0.016368457992149366,0.014449759362303805,0.026586426220898546,0.007089789715594828,1.1107443975256115,1.0,0.0026333333333333334,30000
Octa-6,1,60000,3.0,0.020830606021074203,0.017425572632759952,0.035496481954444596,0.009108123302840858,1.3349341444373504,1.0,0.0036666666666666666,30000
Octa-6,2,60000,3.0,0.026568624862086023,0.021841344995521338,0.046258309188427084,0.011761985498787268,1.6920420190349377,0.8004,0.00537231384307846,24012
Proposed-6,0,60000,3.0,0.016567457991725616,0.014541964472512523,0.02719104034564338,0.007243649241634276,1.1094752096027671,1.0,0.0024333333333333334,30000
Proposed-6,1,60000,3.0,0.020836208057908975,0.01747601740802686,0.035505884696028576,0.009097414635889763,1.355576081121496,1.0,0.0041,30000
Proposed-6,2,60000,3.0,0.03583176293288933,0.02439505577206459,0.0703570641257661,0.014851172802536413,1.9279858795618965,1.0,0.0068,30000
Cube-8,0,60000,3.0,0.01627026502160628,0.014316469135140288,0.02653551661731343,0.007096946244523305,1.0983051470225098,1.0,0.002766666666666667,30000
Cube-8,1,60000,3.0,0.018391277331237917,0.015969719429893236,0.03043502641239128,0.008010661539284654,1.2231597631744926,1.0,0.0029,30000
Cube-8,2,60000,3.0,0.021549159379114845,0.018174678285874456,0.03656154691029588,0.009427730382289338,1.3928697455417773,1.0,0.0036,30000
