design,sigma_analyzer_deg,rmse_mean,rmse_sd,availability_mean,angle_mean_deg
Cube-8,0.0,0.02174263883685709,0.0001734202046182845,1.0,1.417971648152922
Cube-8,0.25,0.021806900710809686,0.0002043931920395608,1.0,1.417324125741456
Cube-8,0.5,0.022069562956152596,0.00018099403071686056,1.0,1.440885904924295
Cube-8,1.0,0.02292063084256888,0.0008304923459916601,1.0,1.535079148861496
Cube-8,2.0,0.026115703679997337,0.002986316584673346,1.0,1.792943700294137
Proposed-6,0.0,0.03584680143114103,0.0006418906156112812,1.0,1.9291088719728429
Proposed-6,0.25,0.03577339013816318,0.0002879975035598469,1.0,1.9390914241062962
Proposed-6,0.5,0.03627552295617767,0.0005728335552714979,1.0,1.9835922005248485
Proposed-6,1.0,0.037836474877935566,0.0012769700424162928,1.0,2.097662810473338
Proposed-6,2.0,0.04345605445211936,0.006109987506043959,1.0,2.4736793768246335
