design,sigma_analyzer_deg,trial,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
Proposed-6,0.0,1,0.035648324927465044,0.024236429990700643,0.06901219021864093,0.014635622679174596,1.9023250873602913,1.0,0.00625,4000
Proposed-6,0.0,2,0.0351715902680627,0.024017832051137847,0.06970617952333878,0.014736613276059001,1.9329866349267095,1.0,0.006,4000
Proposed-6,0.0,3,0.03648083915964457,0.02450254238281615,0.07143383265376024,0.014960987483281606,1.908291155393229,1.0,0.00675,4000
Proposed-6,0.0,4,0.03575215283779356,0.024831113263921095,0.06960774184586432,0.014814495167932318,1.9561871712300145,1.0,0.00775,4000
Proposed-6,0.0,5,0.03470209340373941,0.024572894009038698,0.06680361381913724,0.014729820152651972,1.8822081572846456,1.0,0.0075,4000
Proposed-6,0.0,6,0.036363412182474734,0.024340936004859176,0.07343226156642994,0.014834526373156144,1.9669736026051803,1.0,0.00675,4000
Proposed-6,0.0,7,0.03559180594604492,0.02451605562874015,0.06947833280787787,0.014852348936613965,1.9101150688483424,1.0,0.00825,4000
Proposed-6,0.0,8,0.036337929883475194,0.02469170926243895,0.07056034192354743,0.0153319932102639,1.9264258785666493,1.0,0.00875,4000
Proposed-6,0.0,9,0.036782097591550884,0.024977071139785582,0.07409468829007125,0.015299953530599307,1.9458582838985128,1.0,0.00775,4000
Proposed-6,0.0,10,0.03563776811115924,0.024690731144590954,0.07064745399813681,0.014961204663327548,1.9597176796148525,1.0,0.0055,4000
Cube-8,0.0,1,0.02174356090064617,0.018267239758427232,0.03667609203285101,0.009537486405697721,1.4052121782456983,1.0,0.0025,4000
Cube-8,0.0,2,0.02166151944002279,0.018461170451665985,0.03703979005199211,0.009531012632082617,1.431793354169431,1.0,0.00525,4000
Cube-8,0.0,3,0.02180063078789431,0.01829757604184716,0.03619708039945631,0.009536425902073523,1.4077167442353,1.0,0.00325,4000
Cube-8,0.0,4,0.021825202002165443,0.01853495702472236,0.037118570563175864,0.009650600785659075,1.4118143388792161,1.0,0.00425,4000
Cube-8,0.0,5,0.02148507573315834,0.018232422074645444,0.03656000085615016,0.009195904048032265,1.3958268715480082,1.0,0.00175,4000
Cube-8,0.0,6,0.022051384374374074,0.01894886942946315,0.036999886397096324,0.009747496460247546,1.4523274938029611,1.0,0.00475,4000
Cube-8,0.0,7,0.021843740345742158,0.01855323037477969,0.0367609400060195,0.009389636389257673,1.4531986465948763,1.0,0.00375,4000
Cube-8,0.0,8,0.021466538720069286,0.01834166740007425,0.036089909292046043,0.00939337886558565,1.4358473614129603,1.0,0.00275,4000
Cube-8,0.0,9,0.021730886286997382,0.0181486579040291,0.036703132109855444,0.009327917986436,1.4145518696652148,1.0,0.0025,4000
Cube-8,0.0,10,0.021817849777500942,0.0181840215060673,0.036949353727256246,0.009509554325008357,1.3714276229755549,1.0,0.0035,4000
Proposed-6,0.25,1,0.03584127851357755,0.02470659947821108,0.06983999137147856,0.014861602846880338,1.9536370840981425,1.0,0.0075,4000
Proposed-6,0.25,2,0.0360005336700175,0.024524882564713524,0.07042661030898585,0.014863019615495745,1.9206418371692824,1.0,0.008,4000
Proposed-6,0.25,3,0.03541092832389679,0.02457454604685077,0.06793549205200267,0.01481095003193234,1.9537749532800786,1.0,0.004,4000
Proposed-6,0.25,4,0.03592346125132906,0.024858261316021077,0.0702121916716736,0.014958766245129498,1.9491391741228647,1.0,0.0075,4000
Proposed-6,0.25,5,0.03564189515700596,0.02488590678589918,0.06802739419901623,0.014581791855029036,2.036460961054514,1.0,0.00675,4000
Proposed-6,0.25,6,0.03516335285159334,0.024450541195265664,0.06858585559281599,0.014628590942366343,1.884588663105157,1.0,0.0075,4000
Proposed-6,0.25,7,0.035868620755129255,0.024898069833020973,0.06912249927171868,0.01522306911241567,1.90816284731269,1.0,0.0075,4000
Proposed-6,0.25,8,0.0358153552061562,0.02429759745000796,0.06919070554018264,0.01487866423818984,1.8790166702202702,1.0,0.00775,4000
Proposed-6,0.25,9,0.036030317002229056,0.024797248347380584,0.06993399607300195,0.015108198481721031,1.9165181926456494,1.0,0.011,4000
Proposed-6,0.25,10,0.03603815865069705,0.024815688851034332,0.07228002836808271,0.014950025972174125,1.9889738580543148,1.0,0.00625,4000
Cube-8,0.25,1,0.0218460746743801,0.018313978927016576,0.03701211141773786,0.00969444188035638,1.4365343576667824,1.0,0.003,4000
Cube-8,0.25,2,0.021994832051541922,0.01832118059978141,0.03716967827450971,0.009640687341062068,1.4458297543566434,1.0,0.00325,4000
Cube-8,0.25,3,0.022118461600175218,0.01871804801656405,0.037590518856292846,0.00967482714126411,1.4594377032994101,1.0,0.0025,4000
Cube-8,0.25,4,0.021430590101681267,0.018402540635824402,0.036036123638449005,0.009510708104270925,1.3777748220836241,1.0,0.004,4000
Cube-8,0.25,5,0.02174594136221759,0.018148494028899592,0.03753103710920493,0.009345518385654297,1.3888903201545106,1.0,0.006,4000
Cube-8,0.25,6,0.021807486029573244,0.018355792869793486,0.03760596154083093,0.009417037509521478,1.419792409551875,1.0,0.002,4000
Cube-8,0.25,7,0.021772970019931653,0.018426632603456106,0.0367545945394714,0.009445933279274015,1.4058048472647102,1.0,0.00225,4000
Cube-8,0.25,8,0.02186479984621881,0.018361155065207087,0.03738088970734396,0.009567810821075703,1.4281464584242483,1.0,0.003,4000
Cube-8,0.25,9,0.02153861514838788,0.018177213906012554,0.036350284845644946,0.009318738073093176,1.417269202789267,1.0,0.004,4000
Cube-8,0.25,10,0.021949236273989155,0.018482851162983593,0.03772048598409635,0.00966751108844549,1.3937613818234884,1.0,0.005,4000
Proposed-6,0.5,1,0.03600627251312843,0.025167139159259513,0.07113435928725755,0.014996960961947739,2.0357245762676666,1.0,0.00875,4000
Proposed-6,0.5,2,0.03685598026250695,0.025554339063326326,0.07245761134903174,0.015518637034112265,1.9965822451426138,1.0,0.00675,4000
Proposed-6,0.5,3,0.03635705140648644,0.02495965993574646,0.07196373669970135,0.014941009655134506,1.96612204709777,1.0,0.0075,4000
Proposed-6,0.5,4,0.037329091830421504,0.025311248717190607,0.07297838514108217,0.01540449886162085,2.0431600617658785,1.0,0.00775,4000
Proposed-6,0.5,5,0.035889002847828734,0.024852359317207338,0.06973730812725785,0.015177524995654449,1.95219664699997,1.0,0.0105,4000
Proposed-6,0.5,6,0.03637781166670132,0.024689484737189724,0.07051729435394667,0.014995416589793453,1.9349495537974166,1.0,0.00575,4000
Proposed-6,0.5,7,0.03659615509247672,0.02535764484953817,0.07015616842127667,0.015227400417265273,2.0945591189376507,1.0,0.008,4000
Proposed-6,0.5,8,0.03560310060807683,0.02446397050166942,0.06958419193236978,0.014996157397790677,1.910509406216897,1.0,0.00725,4000
Proposed-6,0.5,9,0.03630859811364148,0.024786993442287766,0.07097330079505366,0.015261618885021654,1.9573326853835495,1.0,0.00825,4000
Proposed-6,0.5,10,0.03543216522050829,0.02504918914593217,0.06916112005493036,0.01449219178327913,1.9447856636390717,1.0,0.01025,4000
Cube-8,0.5,1,0.021905335356264346,0.018536348130566746,0.03742298267447771,0.009343337324822558,1.4146025934517341,1.0,0.004,4000
Cube-8,0.5,2,0.02233246342011505,0.018821655695773515,0.0375555354226324,0.009761254503811339,1.452414542560459,1.0,0.004,4000
Cube-8,0.5,3,0.022203540653914052,0.01878250523001352,0.037754811148524,0.009864629991307805,1.4543840205734078,1.0,0.00375,4000
Cube-8,0.5,4,0.021980064260830903,0.0185117522771956,0.037127805401557246,0.00955363379946239,1.4318827589836842,1.0,0.00375,4000
Cube-8,0.5,5,0.022110601254356474,0.018882899821450964,0.0366932614190172,0.009766086408822289,1.4815049125885962,1.0,0.00275,4000
Cube-8,0.5,6,0.022089467197076416,0.018566416293839524,0.037548539516293625,0.009609959922453754,1.4435805896839207,1.0,0.00425,4000
Cube-8,0.5,7,0.021927236083193243,0.018614342764915304,0.03741078106308851,0.009544703355856015,1.424139333532877,1.0,0.00325,4000
Cube-8,0.5,8,0.021932461640702405,0.01836144285594441,0.03721756719331475,0.009572355190594609,1.4124623493514967,1.0,0.00525,4000
Cube-8,0.5,9,0.021853447919186718,0.018528462888890977,0.03668260758065379,0.00956844508926504,1.4220374829085216,1.0,0.00475,4000
Cube-8,0.5,10,0.022361011775886355,0.019053501427358226,0.03742584415028887,0.009931874086420893,1.4718504656082534,1.0,0.005,4000
Proposed-6,1.0,1,0.04065674661808911,0.027382707454948668,0.08019284427607827,0.016504344448852612,2.312569407721199,1.0,0.00975,4000
Proposed-6,1.0,2,0.037997160946551416,0.025494247001274124,0.07551885095918638,0.015700729766364767,2.049361663151605,1.0,0.00875,4000
Proposed-6,1.0,3,0.037257413108268314,0.02590843041537059,0.07366543602776021,0.015185373545938083,2.094535943654555,1.0,0.008,4000
Proposed-6,1.0,4,0.0395471853965666,0.02674710496878457,0.07748390392749747,0.01674523132094505,2.1556046949713674,1.0,0.00975,4000
Proposed-6,1.0,5,0.037271033888991,0.025428206126929358,0.07396901299958106,0.0155138802163572,2.0774306881301396,1.0,0.008,4000
Proposed-6,1.0,6,0.03766927108649563,0.026138773071849756,0.07486252585569896,0.01570568869163584,2.1158204792534736,1.0,0.0075,4000
Proposed-6,1.0,7,0.03720321332633281,0.025616989002007554,0.0725113654869189,0.015491089556398765,2.0661581830793203,1.0,0.00875,4000
Proposed-6,1.0,8,0.03661754518498272,0.024751407546860418,0.07196965379573458,0.015075064514734126,2.052903480718455,1.0,0.00875,4000
Proposed-6,1.0,9,0.03720054444941307,0.025640172138762483,0.07392874385628392,0.015554627838717966,2.036008663636762,1.0,0.0105,4000
Proposed-6,1.0,10,0.03694463477366501,0.025646526782787046,0.07344391260133148,0.015461361895901285,2.0162349004165008,1.0,0.0085,4000
Cube-8,1.0,1,0.02260489805493185,0.01903637370106214,0.038654181445662426,0.009589982171141735,1.532568006466053,1.0,0.00375,4000
Cube-8,1.0,2,0.025102401277874026,0.020949005475278403,0.043143592344034226,0.010973370540826892,1.6992316579808826,1.0,0.0065,4000
Cube-8,1.0,3,0.02259262505834982,0.01929594800151964,0.03833239190585357,0.009749531786623007,1.553033223798862,1.0,0.0055,4000
Cube-8,1.0,4,0.02234638080901232,0.018937989853359875,0.03708125797428163,0.009898828485561074,1.4424501914421735,1.0,0.00475,4000
Cube-8,1.0,5,0.022725388419548707,0.019247022477029082,0.03837927607559601,0.009716221832090453,1.5480382744161085,1.0,0.005,4000
Cube-8,1.0,6,0.02259480958961433,0.019030763148692155,0.03828943806369777,0.009801597504127747,1.4868819472797492,1.0,0.005,4000
