design,photons_total,dropouts,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
Octa-6,3000,2,0.12021033969570205,0.09943812584539607,0.2078922396803683,0.05530708682316542,7.739126415404488,0.80025,0.027491408934707903,9603
Proposed-6,3000,2,0.1578020760463009,0.11043162683605723,0.30659408724108184,0.06761120585364011,8.776424662484104,1.0,0.036083333333333335,12000
Cube-8,3000,2,0.0993873218781575,0.08400842731570515,0.16666221328741715,0.045200926310897935,6.330750278240456,1.0,0.018666666666666668,12000
Octa-6,10000,2,0.06530871005900245,0.05352174643856932,0.11392723718633126,0.029109473216130867,4.1410963893706665,0.79975,0.014483692820673128,9597
Proposed-6,10000,2,0.08785385205013738,0.06074319832359146,0.16944127576482074,0.0366376799570547,4.85085923239547,1.0,0.018833333333333334,12000
Cube-8,10000,2,0.053352350546280104,0.045296007098018454,0.08980357196034586,0.02355465444399914,3.4764693167279033,1.0,0.010833333333333334,12000
Octa-6,30000,2,0.03760558144784828,0.030744718529219582,0.0656275630059932,0.016965612547571743,2.416522814417328,0.8029166666666666,0.006538661131292164,9635
Proposed-6,30000,2,0.05094246935120405,0.03462336653247703,0.09920488347336626,0.021129759297122873,2.7644474798814933,1.0,0.009,12000
Cube-8,30000,2,0.030743678525719857,0.026015063309732,0.05208333752946289,0.013544408393907463,1.981666017675785,1.0,0.005166666666666667,12000
Octa-6,60000,2,0.026706508423963413,0.022015724905477672,0.04638845456669622,0.011901062369326535,1.7233744222948801,0.8023333333333333,0.006024096385542169,9628
Proposed-6,60000,2,0.0357852655683108,0.024415632151888224,0.06973717303107456,0.01481826644166238,1.9182946321015342,1.0,0.007583333333333333,12000
Cube-8,60000,2,0.02166402096125209,0.018461028388665153,0.03640789709983984,0.00948342949029765,1.410579430532613,1.0,0.003833333333333333,12000
Octa-6,100000,2,0.0206430433189924,0.017052619352183763,0.03598408322878838,0.009226867232204679,1.3001052161095599,0.7971666666666667,0.004599623667154506,9566
Proposed-6,100000,2,0.027417822167817758,0.01893648764902382,0.05319614310020729,0.011349527773260088,1.481164440097472,1.0,0.005916666666666666,12000
Cube-8,100000,2,0.016880747122222976,0.014251368156255467,0.028617621360924668,0.007369387202821463,1.0872284273385877,1.0,0.002416666666666667,12000
