dropped_channels,condition_number,rmse_quv,p95_quv_error
1;2,3.1195622552281397,0.026855282052554934,0.0463748427819575
1;3,6.811314296433444,0.049285274706145056,0.09315937843707736
1;4,6.316491520674072,0.04387917546984218,0.08288284667374969
1;5,2.7326670019323105,0.02488749188146244,0.04205847537277736
1;6,3.2672123816571137,0.026889512517894874,0.046296472843152796
2;3,2.5573871882181347,0.02467090222047905,0.0417389837800446
2;4,6.811314308158717,0.05046834560513257,0.09564393978448657
2;5,6.797960310321819,0.04603147291584546,0.08798707184557944
2;6,3.2871429827653493,0.02682392260306753,0.04629559292522792
3;4,3.103627480134096,0.026234492555307798,0.04489184663398776
3;5,3.392161237935049,0.027066906855154345,0.04782809702685586
3;6,6.253432240415245,0.04149947004399903,0.07801579971639148
4;5,3.1238331226798444,0.026614402940006346,0.04600721946641663
4;6,2.4550184914874436,0.02411054244754746,0.04053033526459243
5;6,6.806320123564927,0.04916082134301009,0.09503038408382705
