design,trial,rmse_quv,median_quv_error,p95_quv_error,dop_mae,median_poincare_angle_deg,availability,preprojection_unphysical_fraction,n_success
Octa-6,1,0.026739669520704126,0.021737762970833352,0.04680719769916905,0.01202501939065341,1.725452808127725,0.8014,0.006738208135762416,8014
Octa-6,2,0.026422074461835417,0.021740759275528397,0.04614611342764403,0.011830565600930496,1.6697479975454517,0.8014,0.004492138757174944,8014
Octa-6,3,0.02687136575027129,0.022211887321248878,0.0467316084994393,0.011906967573994212,1.7117257678303655,0.7981,0.006139581506076933,7981
Octa-6,4,0.02654789337339479,0.02190398899129737,0.0460098045685234,0.01179869503786885,1.6823714572588793,0.8014,0.00486648365360619,8014
Octa-6,5,0.026512357578455888,0.021839727472631423,0.046051449879573096,0.011768135206464803,1.6732163814285714,0.8007,0.005994754589733983,8007
Octa-6,6,0.026483371773664062,0.02199335166060388,0.046121085783324384,0.011687562103239912,1.7099216104929162,0.7835,0.005232929164007658,7835
Octa-6,7,0.02672350911949186,0.022213217724374,0.04573334301136089,0.01178954123019483,1.7237755049008765,0.796,0.006407035175879397,7960
Octa-6,8,0.026528838386208325,0.021845736814844814,0.04602219884802932,0.011848397119184093,1.6978290632901574,0.7933,0.006050674398083953,7933
Octa-6,9,0.026851218694223005,0.021874278532352937,0.04653596977538984,0.012122897474340179,1.6709046059897745,0.8001,0.005874265716785402,8001
Octa-6,10,0.026472737245210983,0.02175023633540101,0.046119466663820885,0.011781690845083669,1.7074594444186082,0.7975,0.007147335423197492,7975
Proposed-6,1,0.03557892975577181,0.02460034067645548,0.0700203640931116,0.014738118388578053,1.9381717980292805,1.0,0.0087,10000
Proposed-6,2,0.035653214120231244,0.02433690773444688,0.06993003720983405,0.014774061539143332,1.9279707751542894,1.0,0.0069,10000
Proposed-6,3,0.03541900624588163,0.024171243473994006,0.06832739668193516,0.014632975984242626,1.9451382052302342,1.0,0.007,10000
Proposed-6,4,0.036132287113809544,0.024816737318485584,0.07135204409762419,0.015131868414242652,1.9495461586237863,1.0,0.008,10000
Proposed-6,5,0.035020635635665785,0.02464582587486424,0.06819029526410675,0.014563038892583898,1.952365135179713,1.0,0.0083,10000
Proposed-6,6,0.035783898703379766,0.024599872438447988,0.07026343811397122,0.01503255972516609,1.9465486715263385,1.0,0.0071,10000
Proposed-6,7,0.035884134816691116,0.02429951997028465,0.0705699766678633,0.014848424236950809,1.9365152425988779,1.0,0.0077,10000
Proposed-6,8,0.03587932711111744,0.024450850610245878,0.07009649453742567,0.015072106674156475,1.9141109652283286,1.0,0.0073,10000
Proposed-6,9,0.035882577624349155,0.02463279209821274,0.06972298294140415,0.014831743867543056,1.9274546935056378,1.0,0.0074,10000
Proposed-6,10,0.03632401860955329,0.024860678727813577,0.07100230378219465,0.015077736506242766,1.9535564459630792,1.0,0.008,10000
Cube-8,1,0.021728635417088752,0.018204756587067137,0.03719402071769577,0.009388706627751708,1.406425211215584,1.0,0.0045,10000
Cube-8,2,0.02171518131696233,0.018369428495225618,0.036435559946015134,0.009562146993950738,1.419956117536271,1.0,0.0038,10000
Cube-8,3,0.02162958308967336,0.018243824808679344,0.03654505084195348,0.009420288803056133,1.3991834540679573,1.0,0.0047,10000
Cube-8,4,0.02172188763965948,0.01840911943720369,0.036565351217056556,0.009486256933185649,1.4346525222520894,1.0,0.003,10000
Cube-8,5,0.021794119087337183,0.01845639250076442,0.03659169564543514,0.009428897991909218,1.4110765071111369,1.0,0.0027,10000
Cube-8,6,0.02157753175292248,0.018219652699291475,0.03645577715022011,0.0094343326743923,1.3977382108099878,1.0,0.0036,10000
Cube-8,7,0.021680473853101925,0.018207050105975002,0.03652086600773488,0.009549537138412173,1.3750362544044883,1.0,0.0041,10000
Cube-8,8,0.021503951880923904,0.018219009526957722,0.036155003736523535,0.009415349455867911,1.4045717774855442,1.0,0.0045,10000
Cube-8,9,0.02193098618546059,0.01852138007556768,0.03744066154953664,0.009684709242938619,1.4008625448851033,1.0,0.0026,10000
Cube-8,10,0.021782207011208372,0.01847370328563938,0.03694998527252389,0.009595818231570626,1.4079754500954136,1.0,0.004,10000
