design,n_dropouts,dropped_channels,rank,condition_number
Tetra-4,0,,4,1.7320508075688776
Octa-6,0,,4,1.732050807568877
Octa-6,1,1,4,2.6180339887498953
Octa-6,1,2,4,2.6180339887498953
Octa-6,1,3,4,2.618033988749895
Octa-6,1,4,4,2.618033988749895
Octa-6,1,5,4,2.618033988749895
Octa-6,1,6,4,2.618033988749895
Octa-6,2,1;2,3,inf
Octa-6,2,1;3,4,3.2255049266776945
Octa-6,2,1;4,4,3.2255049266776945
Octa-6,2,1;5,4,3.2255049266776945
Octa-6,2,1;6,4,3.2255049266776945
Octa-6,2,2;3,4,3.2255049266776945
Octa-6,2,2;4,4,3.2255049266776945
Octa-6,2,2;5,4,3.2255049266776945
Octa-6,2,2;6,4,3.2255049266776945
Octa-6,2,3;4,3,inf
Octa-6,2,3;5,4,3.2255049266776936
Octa-6,2,3;6,4,3.2255049266776936
Octa-6,2,4;5,4,3.2255049266776936
Octa-6,2,4;6,4,3.2255049266776936
Octa-6,2,5;6,3,inf
Proposed-6,0,,4,1.8842720292843975
Proposed-6,1,1,4,2.6780129189235113
Proposed-6,1,2,4,2.7203871888781057
Proposed-6,1,3,4,2.6440227526113014
Proposed-6,1,4,4,2.589571622495491
Proposed-6,1,5,4,2.696004579072336
Proposed-6,1,6,4,2.562306232437458
Proposed-6,2,1;2,4,3.1195622552281397
Proposed-6,2,1;3,4,6.811314296433444
Proposed-6,2,1;4,4,6.316491520674072
Proposed-6,2,1;5,4,2.7326670019323105
Proposed-6,2,1;6,4,3.2672123816571137
Proposed-6,2,2;3,4,2.5573871882181347
Proposed-6,2,2;4,4,6.811314308158717
Proposed-6,2,2;5,4,6.797960310321819
Proposed-6,2,2;6,4,3.2871429827653493
Proposed-6,2,3;4,4,3.103627480134096
Proposed-6,2,3;5,4,3.392161237935049
Proposed-6,2,3;6,4,6.253432240415245
Proposed-6,2,4;5,4,3.1238331226798444
Proposed-6,2,4;6,4,2.4550184914874436
Proposed-6,2,5;6,4,6.806320123564927
Cube-8,0,,4,1.7320508075688774
Cube-8,1,1,4,2.198825674693236
Cube-8,1,2,4,2.198825674693236
Cube-8,1,3,4,2.198825674693236
Cube-8,1,4,4,2.198825674693236
Cube-8,1,5,4,2.1988256746932358
Cube-8,1,6,4,2.198825674693236
Cube-8,1,7,4,2.198825674693236
Cube-8,1,8,4,2.1988256746932358
Cube-8,2,1;2,4,2.820933955850532
Cube-8,2,1;3,4,2.820933955850532
Cube-8,2,1;4,4,2.1753277471610746
Cube-8,2,1;5,4,2.820933955850532
Cube-8,2,1;6,4,2.175327747161075
Cube-8,2,1;7,4,2.175327747161074
Cube-8,2,1;8,4,2.999999999999999
Cube-8,2,2;3,4,2.175327747161074
Cube-8,2,2;4,4,2.8209339558505317
Cube-8,2,2;5,4,2.1753277471610746
Cube-8,2,2;6,4,2.8209339558505317
Cube-8,2,2;7,4,2.999999999999999
Cube-8,2,2;8,4,2.175327747161074
Cube-8,2,3;4,4,2.820933955850532
Cube-8,2,3;5,4,2.175327747161074
Cube-8,2,3;6,4,2.999999999999999
Cube-8,2,3;7,4,2.8209339558505317
Cube-8,2,3;8,4,2.175327747161074
Cube-8,2,4;5,4,2.9999999999999996
Cube-8,2,4;6,4,2.1753277471610746
Cube-8,2,4;7,4,2.175327747161075
Cube-8,2,4;8,4,2.8209339558505317
Cube-8,2,5;6,4,2.820933955850532
Cube-8,2,5;7,4,2.8209339558505326
Cube-8,2,5;8,4,2.1753277471610737
Cube-8,2,6;7,4,2.175327747161075
Cube-8,2,6;8,4,2.8209339558505326
Cube-8,2,7;8,4,2.820933955850532
